,athlete_id,athlete_name,year,school_name,rushing_yards,rushing_attempts,Rnd,Pick,Tm,Pos,Age,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,year_drafted
1731,511290,J.Shipley,2012,Texas,58.0,8.0,3.0,84.0,CIN,WR,24.0,0.0,7.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,858.0,4.0,1.0,,,Texas,2010
702,237967,J.Smith,2010,UCLA,52.0,2.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
703,237967,J.Smith,2010,UCLA,52.0,2.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
704,237967,J.Smith,2011,UCLA,32.0,6.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
705,237967,J.Smith,2011,UCLA,32.0,6.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
706,481752,J.Smith,2009,Oklahoma State,160.0,15.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
707,481752,J.Smith,2009,Oklahoma State,160.0,15.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
708,481752,J.Smith,2010,Oklahoma State,246.0,51.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
709,481752,J.Smith,2010,Oklahoma State,246.0,51.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
710,481752,J.Smith,2011,Oklahoma State,710.0,101.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
721,503810,J.Smith,2013,Syracuse,958.0,211.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
720,503810,J.Smith,2013,Syracuse,958.0,211.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
713,481752,J.Smith,2012,Oklahoma State,408.0,72.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
714,481752,J.Smith,2013,Oklahoma State,544.0,130.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
715,481752,J.Smith,2013,Oklahoma State,544.0,130.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
716,487659,J.Smith,2012,Ball State,49.0,4.0,1.0,27.0,BAL,DB,23.0,5.0,31.0,31.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,13.0,1.0,Colorado,2011
717,487659,J.Smith,2012,Ball State,49.0,4.0,7.0,241.0,SEA,DT,23.0,0.0,,,,,,,,,,,,,,,,,,New Hampshire,2013
