,athlete_id,athlete_name,year,school_name,rushing_yards,rushing_attempts,Rnd,Pick,Tm,Pos,Age,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,year_drafted
1795,514508,A.Abdullah,2014,Nebraska,1752.0,272.0,2.0,54.0,DET,RB,22.0,2.0,11.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,334.0,1287.0,6.0,61.0,460.0,4.0,1.0,,,Nebraska,2015
1793,514508,A.Abdullah,2012,Nebraska,1208.0,235.0,2.0,54.0,DET,RB,22.0,2.0,11.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,334.0,1287.0,6.0,61.0,460.0,4.0,1.0,,,Nebraska,2015
1792,514508,A.Abdullah,2011,Nebraska,155.0,39.0,2.0,54.0,DET,RB,22.0,2.0,11.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,334.0,1287.0,6.0,61.0,460.0,4.0,1.0,,,Nebraska,2015
1794,514508,A.Abdullah,2013,Nebraska,1666.0,277.0,2.0,54.0,DET,RB,22.0,2.0,11.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,334.0,1287.0,6.0,61.0,460.0,4.0,1.0,,,Nebraska,2015
57,169504,A.Allen,2009,Akron,35.0,17.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
58,169504,A.Allen,2009,Akron,35.0,17.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
59,169504,A.Allen,2010,Akron,107.0,23.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
60,169504,A.Allen,2010,Akron,107.0,23.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
61,191010,A.Allen,2009,Georgia Tech,636.0,69.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
62,191010,A.Allen,2009,Georgia Tech,636.0,69.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
63,191010,A.Allen,2010,Georgia Tech,1480.0,257.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
64,191010,A.Allen,2010,Georgia Tech,1480.0,257.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
65,389142,A.Allen,2009,Notre Dame,352.0,65.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
67,389142,A.Allen,2010,Notre Dame,343.0,65.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
66,389142,A.Allen,2009,Notre Dame,352.0,65.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
69,486978,A.Allen,2011,Liberty,13.0,5.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
70,486978,A.Allen,2011,Liberty,13.0,5.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
71,3124972,A.Allen,2014,New Mexico State,113.0,5.0,7.0,225.0,BAL,RB,23.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,1.0,2.0,12.0,0.0,9.0,,,Georgia Tech,2011
72,3124972,A.Allen,2014,New Mexico State,113.0,5.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
68,389142,A.Allen,2010,Notre Dame,343.0,65.0,7.0,242.0,NYJ,DB,23.0,2.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,2.5,South Carolina,2012
1202,382568,A.Bailey,2009,Syracuse,83.0,16.0,3.0,86.0,KAN,DE,22.0,4.0,28.0,28.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,,19.5,Miami (FL),2011
1203,382568,A.Bailey,2010,Syracuse,72.0,18.0,3.0,86.0,KAN,DE,22.0,4.0,28.0,28.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,,19.5,Miami (FL),2011
1204,382568,A.Bailey,2011,Syracuse,161.0,36.0,3.0,86.0,KAN,DE,22.0,4.0,28.0,28.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,,19.5,Miami (FL),2011
1205,546062,A.Bailey,2013,Illinois,93.0,21.0,3.0,86.0,KAN,DE,22.0,4.0,28.0,28.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,,19.5,Miami (FL),2011
1206,546062,A.Bailey,2014,Illinois,120.0,32.0,3.0,86.0,KAN,DE,22.0,4.0,28.0,28.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,,19.5,Miami (FL),2011
1619,500338,A.Barr,2011,UCLA,27.0,10.0,1.0,9.0,MIN,LB,22.0,6.0,42.0,42.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,2.0,15.0,UCLA,2014
541,232318,A.Benn,2009,Illinois,23.0,7.0,2.0,39.0,TAM,WR,21.0,2.0,8.0,7.0,61.0,0.0,0.0,0.0,0.0,0.0,15.0,44.0,0.0,65.0,990.0,6.0,5.0,,,Illinois,2010
1408,480617,A.Blue,2012,North Carolina,433.0,82.0,6.0,181.0,HOU,RB,23.0,1.0,18.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,673.0,2407.0,8.0,69.0,470.0,2.0,4.0,,,LSU,2014
1411,504163,A.Blue,2011,LSU,541.0,79.0,6.0,181.0,HOU,RB,23.0,1.0,18.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,673.0,2407.0,8.0,69.0,470.0,2.0,4.0,,,LSU,2014
1412,504163,A.Blue,2012,LSU,371.0,54.0,6.0,181.0,HOU,RB,23.0,1.0,18.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,673.0,2407.0,8.0,69.0,470.0,2.0,4.0,,,LSU,2014
1413,504163,A.Blue,2013,LSU,406.0,83.0,6.0,181.0,HOU,RB,23.0,1.0,18.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,673.0,2407.0,8.0,69.0,470.0,2.0,4.0,,,LSU,2014
1409,480617,A.Blue,2013,North Carolina,335.0,82.0,6.0,181.0,HOU,RB,23.0,1.0,18.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,673.0,2407.0,8.0,69.0,470.0,2.0,4.0,,,LSU,2014
1406,480617,A.Blue,2009,North Carolina,33.0,18.0,6.0,181.0,HOU,RB,23.0,1.0,18.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,673.0,2407.0,8.0,69.0,470.0,2.0,4.0,,,LSU,2014
1410,504163,A.Blue,2010,LSU,101.0,20.0,6.0,181.0,HOU,RB,23.0,1.0,18.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,673.0,2407.0,8.0,69.0,470.0,2.0,4.0,,,LSU,2014
1407,480617,A.Blue,2011,North Carolina,139.0,32.0,6.0,181.0,HOU,RB,23.0,1.0,18.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,673.0,2407.0,8.0,69.0,470.0,2.0,4.0,,,LSU,2014
1537,485553,A.Bonner,2012,Jacksonville State,14.0,3.0,6.0,195.0,HOU,WR,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Jacksonville St.,2013
214,183222,A.Bradford,2010,USC,141.0,15.0,6.0,187.0,TAM,RB,23.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,8.0,,,USC,2011
801,243312,A.Brown,2009,Central Michigan,13.0,4.0,7.0,209.0,STL,LB,,0.0,,,,,,,,,,,,,,,,,,Hawaii,2012
802,243312,A.Brown,2009,Central Michigan,13.0,4.0,2.0,56.0,BAL,LB,20.0,0.0,3.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.5,Kansas St.,2013
803,502429,A.Brown,2013,BYU,26.0,5.0,6.0,195.0,PIT,WR,22.0,7.0,87.0,87.0,131.0,3.0,6.0,35.0,1.0,1.0,32.0,124.0,0.0,841.0,11263.0,75.0,13.0,,,Central Michigan,2010
804,502429,A.Brown,2013,BYU,26.0,5.0,7.0,209.0,STL,LB,,0.0,,,,,,,,,,,,,,,,,,Hawaii,2012
805,502429,A.Brown,2013,BYU,26.0,5.0,2.0,56.0,BAL,LB,20.0,0.0,3.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.5,Kansas St.,2013
806,502429,A.Brown,2014,BYU,67.0,17.0,6.0,195.0,PIT,WR,22.0,7.0,87.0,87.0,131.0,3.0,6.0,35.0,1.0,1.0,32.0,124.0,0.0,841.0,11263.0,75.0,13.0,,,Central Michigan,2010
807,502429,A.Brown,2014,BYU,67.0,17.0,7.0,209.0,STL,LB,,0.0,,,,,,,,,,,,,,,,,,Hawaii,2012
800,243312,A.Brown,2009,Central Michigan,13.0,4.0,6.0,195.0,PIT,WR,22.0,7.0,87.0,87.0,131.0,3.0,6.0,35.0,1.0,1.0,32.0,124.0,0.0,841.0,11263.0,75.0,13.0,,,Central Michigan,2010
809,518239,A.Brown,2014,Charleston Southern,23.0,13.0,6.0,195.0,PIT,WR,22.0,7.0,87.0,87.0,131.0,3.0,6.0,35.0,1.0,1.0,32.0,124.0,0.0,841.0,11263.0,75.0,13.0,,,Central Michigan,2010
810,518239,A.Brown,2014,Charleston Southern,23.0,13.0,7.0,209.0,STL,LB,,0.0,,,,,,,,,,,,,,,,,,Hawaii,2012
811,518239,A.Brown,2014,Charleston Southern,23.0,13.0,2.0,56.0,BAL,LB,20.0,0.0,3.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.5,Kansas St.,2013
808,502429,A.Brown,2014,BYU,67.0,17.0,2.0,56.0,BAL,LB,20.0,0.0,3.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.5,Kansas St.,2013
1871,534458,A.Cooper,2013,Alabama,28.0,1.0,1.0,4.0,OAK,WR,21.0,5.0,31.0,25.0,70.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,0.0,331.0,4756.0,32.0,,,,Alabama,2015
1872,534458,A.Cooper,2014,Alabama,23.0,5.0,1.0,4.0,OAK,WR,21.0,5.0,31.0,25.0,70.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,0.0,331.0,4756.0,32.0,,,,Alabama,2015
224,183253,A.Dalton,2009,TCU,107.0,27.0,2.0,35.0,CIN,QB,23.0,9.0,77.0,77.0,128.0,2647.0,4259.0,30352.0,197.0,112.0,376.0,1203.0,21.0,2.0,14.0,1.0,5.0,,,TCU,2011
225,183253,A.Dalton,2010,TCU,26.0,4.0,2.0,35.0,CIN,QB,23.0,9.0,77.0,77.0,128.0,2647.0,4259.0,30352.0,197.0,112.0,376.0,1203.0,21.0,2.0,14.0,1.0,5.0,,,TCU,2011
699,237729,A.Davis,2009,Southern Mississippi,26.0,22.0,1.0,11.0,SFO,T,20.0,4.0,31.0,31.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,Rutgers,2010
701,515767,A.Davis,2013,Indiana,65.0,10.0,1.0,11.0,SFO,T,20.0,4.0,31.0,31.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,Rutgers,2010
700,237729,A.Davis,2010,Southern Mississippi,68.0,17.0,1.0,11.0,SFO,T,20.0,4.0,31.0,31.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,Rutgers,2010
1334,480211,A.Debose,2014,Florida,30.0,2.0,7.0,221.0,OAK,WR,,0.0,,,,,,,,,,,,,,,,,,Florida,2015
135,174068,A.Dixon,2009,Connecticut,170.0,38.0,6.0,173.0,SFO,RB,22.0,0.0,7.0,4.0,96.0,0.0,0.0,0.0,0.0,0.0,274.0,934.0,11.0,23.0,140.0,0.0,8.0,,,Mississippi St.,2010
136,174068,A.Dixon,2009,Connecticut,170.0,38.0,7.0,248.0,DAL,DB,23.0,0.0,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,Baylor,2014
1106,381445,A.Ellington,2011,Clemson,1174.0,240.0,6.0,187.0,ARI,RB,24.0,1.0,18.0,17.0,65.0,0.0,0.0,0.0,0.0,0.0,418.0,1752.0,10.0,151.0,1368.0,3.0,2.0,,,Clemson,2013
1105,381445,A.Ellington,2010,Clemson,826.0,141.0,6.0,187.0,ARI,RB,24.0,1.0,18.0,17.0,65.0,0.0,0.0,0.0,0.0,0.0,418.0,1752.0,10.0,151.0,1368.0,3.0,2.0,,,Clemson,2013
1104,381445,A.Ellington,2009,Clemson,484.0,66.0,6.0,187.0,ARI,RB,24.0,1.0,18.0,17.0,65.0,0.0,0.0,0.0,0.0,0.0,418.0,1752.0,10.0,151.0,1368.0,3.0,2.0,,,Clemson,2013
1107,381445,A.Ellington,2012,Clemson,1331.0,241.0,6.0,187.0,ARI,RB,24.0,1.0,18.0,17.0,65.0,0.0,0.0,0.0,0.0,0.0,418.0,1752.0,10.0,151.0,1368.0,3.0,2.0,,,Clemson,2013
984,512843,A.Green,2014,TCU,882.0,115.0,3.0,96.0,GNB,RB,23.0,0.0,5.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,149.0,510.0,0.0,21.0,139.0,0.0,3.0,,,Hawaii,2011
983,512843,A.Green,2014,TCU,882.0,115.0,1.0,4.0,CIN,WR,23.0,8.0,68.0,68.0,111.0,0.0,0.0,0.0,0.0,0.0,11.0,93.0,0.0,602.0,8907.0,63.0,8.0,,,Georgia,2011
982,512843,A.Green,2013,TCU,232.0,72.0,3.0,96.0,GNB,RB,23.0,0.0,5.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,149.0,510.0,0.0,21.0,139.0,0.0,3.0,,,Hawaii,2011
978,379205,A.Green,2010,Georgia,84.0,4.0,3.0,96.0,GNB,RB,23.0,0.0,5.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,149.0,510.0,0.0,21.0,139.0,0.0,3.0,,,Hawaii,2011
981,512843,A.Green,2013,TCU,232.0,72.0,1.0,4.0,CIN,WR,23.0,8.0,68.0,68.0,111.0,0.0,0.0,0.0,0.0,0.0,11.0,93.0,0.0,602.0,8907.0,63.0,8.0,,,Georgia,2011
980,512843,A.Green,2011,Nebraska,141.0,29.0,3.0,96.0,GNB,RB,23.0,0.0,5.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,149.0,510.0,0.0,21.0,139.0,0.0,3.0,,,Hawaii,2011
977,379205,A.Green,2010,Georgia,84.0,4.0,1.0,4.0,CIN,WR,23.0,8.0,68.0,68.0,111.0,0.0,0.0,0.0,0.0,0.0,11.0,93.0,0.0,602.0,8907.0,63.0,8.0,,,Georgia,2011
979,512843,A.Green,2011,Nebraska,141.0,29.0,1.0,4.0,CIN,WR,23.0,8.0,68.0,68.0,111.0,0.0,0.0,0.0,0.0,0.0,11.0,93.0,0.0,602.0,8907.0,63.0,8.0,,,Georgia,2011
519,192229,A.Henery,2010,Nebraska,27.0,1.0,4.0,120.0,PHI,K,24.0,3.0,8.0,9.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,Nebraska,2011
533,232015,A.Hernandez,2009,Florida,16.0,1.0,4.0,113.0,NWE,TE,20.0,2.0,22.0,22.0,38.0,0.0,0.0,0.0,0.0,0.0,9.0,97.0,0.0,175.0,1956.0,18.0,,,,Florida,2010
838,377823,A.Jones,2010,Nebraska,58.0,14.0,5.0,157.0,BAL,DE,24.0,2.0,19.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,,10.0,Syracuse,2010
840,545833,A.Jones,2013,UTEP,62.0,22.0,5.0,157.0,BAL,DE,24.0,2.0,19.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,,10.0,Syracuse,2010
837,377823,A.Jones,2009,Nebraska,15.0,6.0,5.0,157.0,BAL,DE,24.0,2.0,19.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,,10.0,Syracuse,2010
841,545833,A.Jones,2014,UTEP,191.0,42.0,5.0,157.0,BAL,DE,24.0,2.0,19.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,,10.0,Syracuse,2010
839,377823,A.Jones,2011,Nebraska,38.0,5.0,5.0,157.0,BAL,DE,24.0,2.0,19.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,,10.0,Syracuse,2010
1170,381726,A.King,2010,Duke,16.0,1.0,7.0,249.0,ATL,DB,22.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,,San Jose St.,2015
1910,551325,A.Lane,2014,Florida,72.0,8.0,5.0,153.0,JAX,DE,22.0,1.0,7.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,,3.0,Murray St.,2010
1045,380470,A.Luck,2010,Stanford,69.0,3.0,1.0,1.0,IND,QB,22.0,5.0,71.0,71.0,86.0,2000.0,3290.0,23671.0,171.0,83.0,332.0,1590.0,14.0,1.0,4.0,0.0,6.0,,,Stanford,2012
1046,380470,A.Luck,2011,Stanford,155.0,46.0,1.0,1.0,IND,QB,22.0,5.0,71.0,71.0,86.0,2000.0,3290.0,23671.0,171.0,83.0,332.0,1590.0,14.0,1.0,4.0,0.0,6.0,,,Stanford,2012
1880,535604,A.Lynch,2013,Penn State,358.0,60.0,5.0,150.0,SFO,DE,21.0,1.0,12.0,9.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,1.0,20.0,South Florida,2014
1881,535604,A.Lynch,2013,Penn State,358.0,60.0,5.0,155.0,MIA,TE,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia,2014
1883,535604,A.Lynch,2014,Penn State,603.0,130.0,5.0,155.0,MIA,TE,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia,2014
1882,535604,A.Lynch,2014,Penn State,603.0,130.0,5.0,150.0,SFO,DE,21.0,1.0,12.0,9.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,1.0,20.0,South Florida,2014
1398,480273,A.Mellette,2011,Elon,12.0,2.0,7.0,238.0,BAL,WR,23.0,0.0,,,,,,,,,,,,,,,,,,Elon,2013
551,232857,A.Morris,2010,Florida Atlantic,134.0,38.0,7.0,218.0,OAK,OL,23.0,0.0,,,,,,,,,,,,,,,,,,Tennessee St.,2015
550,232857,A.Morris,2010,Florida Atlantic,134.0,38.0,6.0,173.0,WAS,RB,23.0,4.0,35.0,28.0,105.0,0.0,0.0,0.0,0.0,0.0,1374.0,5935.0,34.0,65.0,494.0,0.0,3.0,,,Florida Atlantic,2012
549,232857,A.Morris,2009,Florida Atlantic,174.0,40.0,7.0,218.0,OAK,OL,23.0,0.0,,,,,,,,,,,,,,,,,,Tennessee St.,2015
548,232857,A.Morris,2009,Florida Atlantic,174.0,40.0,6.0,173.0,WAS,RB,23.0,4.0,35.0,28.0,105.0,0.0,0.0,0.0,0.0,0.0,1374.0,5935.0,34.0,65.0,494.0,0.0,3.0,,,Florida Atlantic,2012
553,232857,A.Morris,2011,Florida Atlantic,122.0,39.0,7.0,218.0,OAK,OL,23.0,0.0,,,,,,,,,,,,,,,,,,Tennessee St.,2015
552,232857,A.Morris,2011,Florida Atlantic,122.0,39.0,6.0,173.0,WAS,RB,23.0,4.0,35.0,28.0,105.0,0.0,0.0,0.0,0.0,0.0,1374.0,5935.0,34.0,65.0,494.0,0.0,3.0,,,Florida Atlantic,2012
1333,480210,A.Murray,2013,Georgia,171.0,60.0,5.0,163.0,KAN,QB,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia,2014
1332,480210,A.Murray,2011,Georgia,138.0,83.0,5.0,163.0,KAN,QB,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia,2014
1331,480210,A.Murray,2010,Georgia,166.0,86.0,5.0,163.0,KAN,QB,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia,2014
1700,504008,A.Ogletree,2012,Georgia,14.0,3.0,1.0,30.0,STL,LB,21.0,6.0,44.0,38.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,11.0,7.5,Georgia,2013
1699,504008,A.Ogletree,2011,Georgia,45.0,3.0,1.0,30.0,STL,LB,21.0,6.0,44.0,38.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,11.0,7.5,Georgia,2013
1796,514732,A.Ripkowski,2014,Oklahoma,13.0,6.0,6.0,206.0,GNB,FB,22.0,1.0,2.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,39.0,163.0,2.0,17.0,103.0,1.0,,,,Oklahoma,2015
468,518204,A.Robinson,2013,Penn State,36.0,6.0,4.0,127.0,NYG,TE,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,1.0,2.0,,,Cincinnati,2012
467,518204,A.Robinson,2013,Penn State,36.0,6.0,6.0,178.0,WAS,WR,22.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,86.0,1422.0,14.0,1.0,,,SMU,2011
464,381743,A.Robinson,2010,Iowa,1097.0,217.0,6.0,178.0,WAS,WR,22.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,86.0,1422.0,14.0,1.0,,,SMU,2011
462,381743,A.Robinson,2009,Iowa,844.0,179.0,4.0,127.0,NYG,TE,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,1.0,2.0,,,Cincinnati,2012
463,381743,A.Robinson,2009,Iowa,844.0,179.0,2.0,61.0,JAX,WR,21.0,5.0,26.0,19.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,310.0,4220.0,29.0,2.0,,,Penn St.,2014
457,188998,A.Robinson,2009,Iowa State,1158.0,229.0,2.0,61.0,JAX,WR,21.0,5.0,26.0,19.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,310.0,4220.0,29.0,2.0,,,Penn St.,2014
458,188998,A.Robinson,2010,Iowa State,994.0,213.0,6.0,178.0,WAS,WR,22.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,86.0,1422.0,14.0,1.0,,,SMU,2011
459,188998,A.Robinson,2010,Iowa State,994.0,213.0,4.0,127.0,NYG,TE,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,1.0,2.0,,,Cincinnati,2012
469,518204,A.Robinson,2013,Penn State,36.0,6.0,2.0,61.0,JAX,WR,21.0,5.0,26.0,19.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,310.0,4220.0,29.0,2.0,,,Penn St.,2014
461,381743,A.Robinson,2009,Iowa,844.0,179.0,6.0,178.0,WAS,WR,22.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,86.0,1422.0,14.0,1.0,,,SMU,2011
455,188998,A.Robinson,2009,Iowa State,1158.0,229.0,6.0,178.0,WAS,WR,22.0,0.0,12.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,86.0,1422.0,14.0,1.0,,,SMU,2011
466,381743,A.Robinson,2010,Iowa,1097.0,217.0,2.0,61.0,JAX,WR,21.0,5.0,26.0,19.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,310.0,4220.0,29.0,2.0,,,Penn St.,2014
465,381743,A.Robinson,2010,Iowa,1097.0,217.0,4.0,127.0,NYG,TE,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,1.0,2.0,,,Cincinnati,2012
456,188998,A.Robinson,2009,Iowa State,1158.0,229.0,4.0,127.0,NYG,TE,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,1.0,2.0,,,Cincinnati,2012
460,188998,A.Robinson,2010,Iowa State,994.0,213.0,2.0,61.0,JAX,WR,21.0,5.0,26.0,19.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,310.0,4220.0,29.0,2.0,,,Penn St.,2014
1709,504290,A.Sanders,2010,South Carolina,56.0,5.0,4.0,101.0,JAX,WR,21.0,0.0,3.0,3.0,27.0,1.0,1.0,21.0,1.0,0.0,2.0,4.0,0.0,57.0,539.0,1.0,2.0,,,South Carolina,2013
