,athlete_id,athlete_name,year,school_name,rushing_yards,rushing_attempts,Rnd,Pick,Tm,Pos,Age,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28
116,559751,B.Harris,2017,North Carolina,91.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,
117,3115912,C.Crouch,2017,Illinois,88.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,
118,3116074,R.Smith,2017,Minnesota,1069.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,,
119,3116087,A.Bush,2017,Virginia Tech,129.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
120,3116096,N.Gates,2017,Nebraska,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
121,3116127,M.Wilbon,2017,Nebraska,387.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,
122,3116129,A.Anderson,2017,Northwestern,23.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
123,3116136,J.Jackson,2017,Northwestern,1172.0,262.0,7.0,251.0,LAC,RB,23.0,0.0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,70.0,355.0,2.0,22.0,155.0,0.0,,,,Northwestern,College Stats
124,3116150,M.Allen,2017,Penn State,38.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
125,3116172,T.McSorley,2017,Penn State,496.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,
126,3116188,D.Blough,2017,Purdue,116.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,
127,3116199,D.Knox,2017,Purdue,506.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,
128,3116204,G.Phillips,2017,Purdue,47.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
129,3116375,D.Flowers,2017,Oklahoma,26.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
130,3116407,M.Rudolph,2017,Oklahoma State,26.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,
131,3116420,G.Muehlstein,2017,TCU,23.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
132,3116428,S.Nixon,2017,TCU,13.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
133,3116560,N.Pierre,2017,Duke,26.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
134,3116563,S.Wilson,2017,Duke,977.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,
135,3116614,M.Jordan,2017,Georgia Tech,59.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
136,3116619,C.Leggett,2017,Mercer,46.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
137,3116623,C.Lynch,2017,Georgia Tech,223.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,
138,3116631,Q.Searcy,2017,Georgia Tech,259.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,
139,3116642,R.Bonnafon,2017,Louisville,542.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,
140,3116648,L.Scott,2017,Eastern Kentucky,40.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
141,3116715,J.McClendon,2017,NC State,67.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
142,3116721,J.Samuels,2017,NC State,396.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,
143,3117080,A.Lakes,2017,Mercer,35.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
144,3117131,D.Newsome,2017,Western Carolina,107.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
145,3117894,T.Jefferson,2017,Delaware,27.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
146,3117898,K.Williams,2017,Delaware,25.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
147,3118464,J.Keys,2017,Indiana State,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
148,3119431,K.Studsrud,2017,North Dakota,16.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
149,3121083,J.Knipp,2017,Northern Colorado,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
150,3121096,T.Riek,2017,Northern Colorado,59.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
151,3121291,B.Cheek,2017,Presbyterian College,13.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
152,3121398,D.Pierson-El,2017,Nebraska,32.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
153,3121410,P.Campbell,2017,Ohio State,90.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
154,3121554,C.Kinlaw,2017,South Carolina,47.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
155,3121564,D.Tindal,2017,Wisconsin,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
156,3121583,R.Thomas,2017,Jacksonville State,86.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
157,3121597,K.Pettway,2017,Auburn,379.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,
158,3122114,T.Walters,2017,Alabama A&M,17.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
159,3122119,I.Witter,2017,Missouri,1017.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,
160,3122154,K.Blasingame,2017,Vanderbilt,154.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
161,3122166,D.Rivers,2017,Vanderbilt,78.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
162,3122168,T.Sherfield,2017,Vanderbilt,92.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
163,3122424,T.Cornelius,2017,Oklahoma State,75.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
164,3122430,C.Lacy,2017,Oklahoma State,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
165,3122449,J.Washington,2017,Oklahoma State,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
166,3122553,T.Johnson,2017,Arizona,89.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
167,3122611,T.Gangi,2017,Nevada,16.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
168,3122667,C.Nelson,2017,Oregon,31.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
169,3122672,R.Freeman,2017,Oregon,1628.0,273.0,3.0,71.0,DEN,RB,22.0,1.0,3.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,223.0,895.0,7.0,41.0,253.0,0.0,,,,Oregon,College Stats
170,3122708,T.Rodriguez,2017,Marshall,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
171,3122716,G.Howell,2017,Florida Atlantic,23.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
172,3122757,J.Craft,2017,Louisiana Tech,129.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,
173,3122799,J.Hilliman,2017,Boston College,622.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,
174,3122817,T.Smith,2017,Boston College,287.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,
175,3122842,A.Choice,2017,Clemson,368.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,
176,3122851,T.Hearn,2017,Clemson,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
177,3122856,C.Fuller,2017,Clemson,246.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
178,3122899,R.James,2017,Middle Tennessee,39.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
179,3122976,J.Wilson,2017,North Texas,95.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
180,3123047,M.Rosier,2017,Miami,427.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,
181,3123675,J.Moore,2017,Appalachian State,65.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
182,3123746,M.Garrett,2017,Georgia Southern,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
183,3123856,S.Stewart,2017,Rice,71.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
184,3123857,A.Walter,2017,Rice,84.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,3123936,C.James,2017,Wisconsin,223.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
186,3123944,Q.Ollison,2017,Pittsburgh,500.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,
187,3123969,I.Smith,2017,Southern Mississippi,88.0,36.0,4.0,126.0,ATL,RB,22.0,0.0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,112.0,421.0,5.0,38.0,239.0,0.0,,,,Southern Miss,College Stats
188,3123996,E.Philips,2017,Syracuse,84.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
189,3124022,J.Ellis,2017,Virginia,843.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,
190,3124037,D.Sturm,2017,UT San Antonio,98.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
191,3124043,T.Clay,2017,UT San Antonio,25.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
192,3124046,J.Rhodes,2017,UT San Antonio,103.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
193,3124074,T.McMillian,2017,Virginia Tech,473.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,
194,3124092,J.Wolford,2017,Wake Forest,615.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,
195,3124095,I.Robinson,2017,Wake Forest,82.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
196,3124518,D.Thompson,2017,Kansas,86.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
197,3124529,K.Anderson,2017,Coastal Carolina,37.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
198,3124608,J.Butler,2017,Iowa,401.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,
199,3124645,B.Wright,2017,Nevada,37.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
200,3124664,T.Owens,2017,New Mexico,58.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
201,3124795,D.Ferby,2017,Western Kentucky,33.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
202,3124828,T.Williams,2017,Baylor,255.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,
203,3124878,G.Drakeford,2017,The Citadel,46.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
204,3124888,A.Duckworth,2017,Idaho,74.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
205,3124900,J.Luton,2017,Oregon State,32.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
206,3124907,I.Saunders,2017,Idaho,13.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
207,3124912,J.Davis,2017,Louisiana,56.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
208,3124979,L.Rose,2017,New Mexico State,85.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
209,3125062,W.Dimel,2017,Kansas State,63.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
210,3125084,J.Silmon,2017,Kansas State,253.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
211,3125087,D.Warmack,2017,Kansas State,249.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
212,3125112,D.Catalon,2017,Houston,119.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
213,3125115,A.Foreman,2017,Texas,23.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
214,3125121,J.Heard,2017,Texas,73.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
215,3125260,D.Moore,2017,South Alabama,24.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
216,3125353,K.Myers,2017,Utah State,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
217,3125361,L.Hunt,2017,Utah State,32.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
218,3125368,J.Hervey,2017,Utah State,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
219,3125801,D.Spalding,2017,Central Michigan,31.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
220,3125813,H.Moore,2017,Cincinnati,29.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
221,3125830,I.Eriksen,2017,Eastern Michigan,48.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
222,3125833,S.Vann,2017,Eastern Michigan,67.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
223,3125837,B.Banham,2017,Eastern Michigan,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
224,3125907,A.Newsome,2017,Connecticut,23.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
225,3125917,J.Thompson,2017,Connecticut,19.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
226,3126013,R.Graham,2017,Northern Illinois,99.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
227,3126072,A.Ouellette,2017,Ohio,140.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
228,3126113,T.Swanson,2017,Toledo,79.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
229,3126246,D.Hilliard,2017,Tulane,104.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
230,3126273,D.Brewer,2017,Tulsa,33.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
231,3126329,G.Johnson,2017,Kentucky,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
232,3126345,R.Clark,2017,Alabama,107.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
233,3126367,B.Scarbrough,2017,Alabama,589.0,123.0,7.0,236.0,DAL,RB,21.0,0.0,,,,,,,,,,,,,,,,,,Alabama,College Stats
234,3126486,D.Samuel,2017,South Carolina,35.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
235,3127026,B.Horn,2017,Jacksonville State,27.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
236,3127200,T.Watson,2017,California,135.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
237,3127207,V.Enwere,2017,California,493.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,
238,3127211,P.Laird,2017,California,1214.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,
239,3127262,S.Canada,2017,BYU,20.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
240,3127269,K.Harrington,2017,Washington State,23.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
241,3127306,D.Pettis,2017,Washington,50.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
242,3127332,M.McMaryion,2017,Fresno State,38.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
243,3127335,R.Nall,2017,Oregon State,841.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,
244,3127369,J.Hicks,2017,Rutgers,80.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
245,3127374,R.Martin,2017,Rutgers,507.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,
246,3127375,G.Rescigno,2017,Rutgers,135.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,
247,3127594,C.Young,2017,Northern Arizona,115.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
248,3128359,C.Platt,2017,Baylor,35.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
249,3128401,M.Warren,2017,Iowa State,120.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
250,3128710,C.Payne,2017,Georgia,18.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
251,3128720,N.Chubb,2017,Georgia,1228.0,203.0,2.0,35.0,CLE,RB,22.0,2.0,6.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,393.0,2007.0,14.0,47.0,315.0,2.0,2.0,,,Georgia,College Stats
252,3128721,S.Michel,2017,Georgia,1033.0,144.0,1.0,31.0,NWE,RB,23.0,2.0,7.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,353.0,1413.0,12.0,14.0,113.0,0.0,,,,Georgia,College Stats
253,3128748,D.Buford,2017,Ole Miss,28.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
254,3128774,K.Ballage,2017,Arizona State,713.0,169.0,4.0,131.0,MIA,RB,22.0,0.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,91.0,304.0,3.0,17.0,98.0,0.0,3.0,,,Arizona St.,College Stats
255,3128800,D.Richard,2017,Arizona State,1030.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
256,3128814,M.Wilkins,2017,Arizona State,294.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,
257,3129089,A.Bradshaw,2017,Army,146.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,
258,3129224,T.Parks,2017,Southern Mississippi,28.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
259,3129453,J.Franklin,2017,Western Michigan,76.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
260,3129454,J.Bogan,2017,Western Michigan,107.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
261,3131432,D.May,2017,Alabama A&M,27.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
262,3133184,C.Nelson,2017,Wofford,20.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
263,3133993,B.Dawkins,2017,Arizona,459.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,
264,3133996,T.Ellison,2017,Arizona,36.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
265,3134012,N.Wilson,2017,Arizona,585.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,
266,3134305,N.Starks,2017,UCLA,46.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
267,3134678,M.London,2017,Michigan State,287.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,
268,3135736,T.Gray,2017,Miami,42.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
269,3138827,K.Fonua,2017,BYU,28.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
270,3139033,M.Boone,2017,Cincinnati,44.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
271,3139456,C.Batson,2017,Texas Tech,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
272,3139464,D.Felton,2017,Texas Tech,102.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
273,3139481,M.Reed,2017,Texas Tech,25.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
274,3139485,J.Stockton,2017,Texas Tech,741.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,
275,3139530,B.Simmons,2017,Old Dominion,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
276,3139591,Q.Flowers,2017,South Florida,106.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
277,3139602,D.Johnson,2017,South Florida,101.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
278,3139669,R.Malone,2017,Louisiana,54.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
279,3139889,H.Klugh,2017,Charlotte,33.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
280,3139925,R.Penny,2017,San Diego State,391.0,50.0,1.0,27.0,SEA,RB,22.0,0.0,4.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,121.0,586.0,3.0,12.0,109.0,0.0,,,,San Diego St.,College Stats
281,3139982,T.Lindsey,2017,Utah State,28.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
282,3140633,C.Pabico,2017,UCLA,25.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
283,3145138,T.Mitchell,2017,Mercer,87.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
284,3675701,J.Lewis,2017,Eastern Kentucky,23.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
285,3676833,K.Turpin,2017,TCU,93.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
286,3693033,J.Patrick,2017,Florida State,771.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,
287,3699935,D.Ozigbo,2017,Nebraska,493.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,
288,3700815,K.Hinton,2017,Wake Forest,190.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,
289,3701017,R.Gallaspy,2017,NC State,463.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,
290,3705353,R.Anderson,2017,Oklahoma,970.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,
291,3728240,K.Bryant,2017,Clemson,731.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,
292,3728262,R.McCloud,2017,Clemson,52.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
293,3728275,S.Brooks,2017,Minnesota,460.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,
